tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,2500,0,1
5,0,1,0,2500,1,0
6,0,1,0,45000,0,1
7,0,1,0,45000,1,0
8,0,0,0,50000,0,0
