tick,time_s,status,solar_scale,solar_input,output,efficiency
0,0,1,0,0,0,0.2
1,60,1,0.998883,998.883,199.777,0.2
2,120,1,0.995539,995.539,199.108,0.2
3,180,1,0.989981,989.981,197.996,0.2
4,240,1,0.982235,982.235,196.447,0.2
5,300,1,0.972335,972.335,194.467,0.2
6,360,1,0.960325,960.325,192.065,0.2
7,420,1,0.946259,946.259,189.252,0.2
8,480,1,0.930201,930.201,186.04,0.2
9,540,1,0.912221,912.221,182.444,0.2
10,600,1,0.8924,892.4,178.48,0.2
11,660,1,0.870826,870.826,174.165,0.2
12,720,1,0.847596,847.596,169.519,0.2
13,780,1,0.822814,822.814,164.563,0.2
14,840,1,0.79659,796.59,159.318,0.2
15,900,1,0.769041,769.041,153.808,0.2
16,960,1,0.740291,740.291,148.058,0.2
17,1020,1,0.710467,710.467,142.093,0.2
18,1080,1,0.679704,679.704,135.941,0.2
19,1140,1,0.648138,648.138,129.628,0.2
20,1200,1,0.61591,615.91,123.182,0.2
