tick,time_s,status,available_added,total_draw_request,total_granted,remaining_power
0,0,1,0,0,0,0
1,60,1,199.777,0,0,199.777
2,120,1,199.108,5,5,393.884
3,180,1,197.996,190,190,401.881
4,240,1,196.447,190,190,408.328
5,300,1,194.467,190,190,412.794
6,360,1,192.065,190,190,414.859
7,420,1,189.252,190,190,414.111
8,480,1,186.04,190,190,410.151
9,540,1,182.444,190,190,402.596
10,600,1,178.48,190,190,391.076
11,660,1,174.165,190,190,375.241
12,720,1,169.519,190,190,354.76
13,780,1,164.563,190,190,329.323
14,840,1,159.318,190,190,298.641
15,900,1,153.808,190,190,262.449
16,960,1,148.058,190,190,220.507
17,1020,1,142.093,190,190,172.601
18,1080,1,135.941,190,172.601,135.941
19,1140,1,129.628,190,135.941,129.628
20,1200,1,123.182,5,5,247.81
-1,-1,0,0,0,0,0
