tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,2500,0,1
5,0,1,0,2500,1,0
6,0,1,0,17500,0,1
7,0,1,0,17500,1,0
8,0,1,0,60000,0,1
9,0,1,0,60000,1,0
10,0,1,0,87500,0,1
11,0,1,0,87500,1,0
12,0,1,0,97500,0,1
13,0,1,0,97500,1,0
14,0,1,0,162500,0,1
15,0,1,0,162500,1,0
16,0,1,0,172500,0,1
17,0,1,0,172500,1,0
18,0,0,0,187500,0,0
