tick,time_s,status,temperature_K,heatInput_w
1,60,1,300,0
2,120,1,300,0
3,180,1,321.6,180
4,240,1,336.72,180
5,300,1,344.073,153.077
6,360,1,347.8,141.242
7,420,1,351.008,146.231
8,480,1,353.835,151.081
9,540,1,356.377,155.769
10,600,1,339.464,0
11,660,1,327.625,0
12,720,1,319.337,0
13,780,1,313.536,0
14,840,1,309.475,0
15,900,1,306.633,0
16,960,1,304.643,0
17,1020,1,303.25,0
18,1080,1,302.275,0
19,1140,1,301.593,0
20,1200,1,301.115,0
21,1260,1,300.78,0
22,1320,1,300.546,0
23,1380,1,300.382,0
24,1440,1,300.268,0
25,1500,1,300.187,0
26,1560,1,318.131,150
27,1620,1,330.692,150
28,1680,1,339.484,150
29,1740,1,345.639,150
30,1800,1,349.947,150
31,1860,1,352.963,150
32,1920,1,355.074,150
33,1980,1,356.552,150
34,2040,1,357.586,150
35,2100,1,358.31,150
36,2160,1,358.817,150
37,2220,1,341.172,0
38,2280,1,328.82,0
39,2340,1,320.174,0
40,2400,1,314.122,0
41,2460,1,331.485,180
42,2520,1,343.64,180
43,2580,1,352.148,180
44,2640,1,358.104,180
45,2700,1,362.272,180
46,2760,1,365.191,180
47,2820,1,367.234,180
48,2880,1,368.663,180
49,2940,1,369.664,180
50,3000,1,370.365,180
51,3060,1,370.856,180
52,3120,1,371.199,180
53,3180,1,371.439,180
54,3240,1,371.607,180
55,3300,1,371.725,180
56,3360,1,371.808,180
57,3420,1,371.865,180
58,3480,1,371.906,180
59,3540,1,371.934,180
60,3600,1,371.954,180
61,3660,1,371.968,180
62,3720,1,371.977,180
63,3780,1,371.984,180
64,3840,1,371.989,180
65,3900,1,371.992,180
66,3960,1,371.995,180
67,4020,1,350.396,0
68,4080,1,335.277,0
69,4140,1,324.694,0
70,4200,1,317.286,0
71,4260,1,326.5,120
72,4320,1,332.95,120
73,4380,1,337.465,120
74,4440,1,340.626,120
75,4500,1,342.838,120
