tick,time_s,status,bus,battery,solar,job_failed
0,0,1,0,500,0,0
1,60,1,120.343,505,125.343,0
2,120,1,66.0064,510,130.663,0
3,180,1,16.9412,515,135.935,0
4,240,1,0,520,141.136,0
5,300,1,0,525,146.242,0
6,360,1,0,530,151.231,0
7,420,1,0,535,156.081,0
8,480,1,0,540,160.769,0
9,540,1,160.276,545,165.276,1
10,600,1,324.856,550,169.58,0
11,660,1,493.519,555,173.663,0
12,720,1,666.024,560,177.506,0
13,780,1,842.117,565,181.092,0
14,840,1,1021.52,570,184.406,0
15,900,1,1203.95,575,187.431,0
16,960,1,1389.11,580,190.156,0
17,1020,1,1576.68,585,192.567,0
18,1080,1,1766.33,590,194.654,0
19,1140,1,1957.74,595,196.408,0
20,1200,1,2150.56,600,197.821,0
21,1260,1,2344.45,605,198.886,0
22,1320,1,2539.04,610,199.598,0
23,1380,1,2734,615,199.955,0
24,1440,1,2928.95,620,199.955,0
25,1500,1,2973.55,625,199.598,0
26,1560,1,3017.44,630,198.886,0
27,1620,1,3060.26,635,197.821,0
28,1680,1,3101.67,640,196.408,0
