# Wake-Shield-like baseline orbital GaAs recipe
# start_tick end_tick wafer_flux_cm2s heater_W mbe_on substrate_on phase_code substrate_target_K
0 180 0.0e0 1850 0 0 SOURCE_DEGAS 300.0
180 205 0.0e0 0 0 1 OXIDE_DESORB 893.0
205 220 0.0e0 0 0 1 SOAK 873.0
220 235 7.0e12 1650 1 1 NUCLEATE 803.0
235 355 1.45e13 1750 1 1 GROWTH 873.0
355 375 0.0e0 0 0 1 ANNEAL 853.0
375 425 0.0e0 0 0 1 COOLDOWN 623.0
425 470 0.0e0 0 0 0 IDLE 300.0
