tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,10000,0,1
5,0,1,0,10000,1,0
6,0,1,0,132500,0,1
7,0,1,0,132500,1,0
8,0,1,0,185000,0,1
9,0,1,0,185000,1,0
10,0,1,0,280000,0,1
11,0,1,0,280000,1,0
12,0,1,0,360000,0,1
13,0,1,0,360000,1,0
14,0,1,0,420000,0,1
15,0,1,0,420000,1,0
16,0,1,0,535000,0,1
17,0,1,0,535000,1,0
18,0,1,0,610000,0,1
19,0,1,0,610000,1,0
20,0,1,0,710000,0,1
21,0,1,0,710000,1,0
22,0,1,0,775000,0,1
23,0,1,0,775000,1,0
24,0,1,0,885000,0,1
25,0,1,0,885000,1,0
26,0,1,0,1.0175e+06,0,1
27,0,1,0,1.0175e+06,1,0
28,0,1,0,1.06e+06,0,1
29,0,1,0,1.06e+06,1,0
30,0,1,0,1.12e+06,0,1
31,0,1,0,1.12e+06,1,0
32,0,1,0,1.235e+06,0,1
33,0,1,0,1.235e+06,1,0
34,0,1,0,1.3075e+06,0,1
35,0,1,0,1.3075e+06,1,0
36,0,1,0,1.41e+06,0,1
37,0,1,0,1.41e+06,1,0
