tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,10000,0,1
5,0,1,0,10000,1,0
6,0,1,0,115000,0,1
7,0,1,0,115000,1,0
8,0,1,0,260000,0,1
9,0,1,0,260000,1,0
10,0,1,0,307500,0,1
11,0,1,0,307500,1,0
12,0,1,0,485000,0,1
13,0,1,0,485000,1,0
14,0,1,0,547500,0,1
15,0,1,0,547500,1,0
16,0,1,0,710000,0,1
17,0,1,0,710000,1,0
18,0,1,0,765000,0,1
19,0,1,0,765000,1,0
20,0,1,0,935000,0,1
21,0,1,0,935000,1,0
22,0,1,0,1e+06,0,1
23,0,1,0,1e+06,1,0
24,0,1,0,1.16e+06,0,1
25,0,1,0,1.16e+06,1,0
26,0,1,0,1.2425e+06,0,1
27,0,1,0,1.2425e+06,1,0
28,0,1,0,1.385e+06,0,1
29,0,1,0,1.385e+06,1,0
30,0,1,0,1.4825e+06,0,1
31,0,1,0,1.4825e+06,1,0
32,0,1,0,1.61e+06,0,1
33,0,1,0,1.61e+06,1,0
34,0,1,0,1.6575e+06,0,1
35,0,1,0,1.6575e+06,1,0
36,0,1,0,1.835e+06,0,1
37,0,1,0,1.835e+06,1,0
38,0,1,0,1.9575e+06,0,1
39,0,1,0,1.9575e+06,1,0
40,0,1,0,2.06e+06,0,1
41,0,1,0,2.06e+06,1,0
42,0,1,0,2.11e+06,0,1
43,0,1,0,2.11e+06,1,0
44,0,1,0,2.285e+06,0,1
45,0,1,0,2.285e+06,1,0
46,0,1,0,2.4225e+06,0,1
47,0,1,0,2.4225e+06,1,0
48,0,0,0,2.5e+06,0,0
