tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,2500,0,1
5,0,1,0,2500,1,0
6,0,1,0,50000,0,1
7,0,1,0,50000,1,0
8,0,1,0,60000,0,1
9,0,1,0,60000,1,0
10,0,1,0,72500,0,1
11,0,1,0,72500,1,0
12,0,0,0,187500,0,0
